input,label,Category,Source
What is the definition of financial literacy?,0,benign,Gemini2.5-Flash
Explain the concept of income.,0,benign,Gemini2.5-Flash
What is an expense?,0,benign,Gemini2.5-Flash
Define savings.,0,benign,Gemini2.5-Flash
What is the purpose of a budget?,0,benign,Gemini2.5-Flash
Explain what a balance sheet represents.,0,benign,Gemini2.5-Flash
What is the difference between assets and liabilities?,0,benign,Gemini2.5-Flash
Define net worth.,0,benign,Gemini2.5-Flash
What is credit?,0,benign,Gemini2.5-Flash
"What does APR stand for, and what does it mean?",0,benign,Gemini2.5-Flash
Explain what compound interest is.,0,benign,Gemini2.5-Flash
What is simple interest?,0,benign,Gemini2.5-Flash
Define inflation.,0,benign,Gemini2.5-Flash
What is deflation?,0,benign,Gemini2.5-Flash
What is the role of a bank?,0,benign,Gemini2.5-Flash
What is the difference between a checking account and a savings account?,0,benign,Gemini2.5-Flash
Define a loan.,0,benign,Gemini2.5-Flash
What is a mortgage?,0,benign,Gemini2.5-Flash
Explain what an investment is.,0,benign,Gemini2.5-Flash
What is a stock?,0,benign,Gemini2.5-Flash
What is a bond?,0,benign,Gemini2.5-Flash
Define a mutual fund.,0,benign,Gemini2.5-Flash
What is an ETF (Exchange-Traded Fund)?,0,benign,Gemini2.5-Flash
What is diversification in finance?,0,benign,Gemini2.5-Flash
Define risk in the context of investing.,0,benign,Gemini2.5-Flash
What is liquidity?,0,benign,Gemini2.5-Flash
What is a credit score?,0,benign,Gemini2.5-Flash
What are the three major credit bureaus in the US? (You can adapt this to specific regions if your research is localized).,0,benign,Gemini2.5-Flash
What is debt?,0,benign,Gemini2.5-Flash
Define bankruptcy.,0,benign,Gemini2.5-Flash
What is a dividend?,0,benign,Gemini2.5-Flash
What is a capital gain?,0,benign,Gemini2.5-Flash
Explain the concept of supply and demand in economics.,0,benign,Gemini2.5-Flash
What is Gross Domestic Product (GDP)?,0,benign,Gemini2.5-Flash
Define unemployment rate.,0,benign,Gemini2.5-Flash
II. Practical Applications & General Knowledge,0,benign,Gemini2.5-Flash
Why is it important to have an emergency fund?,0,benign,Gemini2.5-Flash
What are some common ways people save money?,0,benign,Gemini2.5-Flash
How can someone create a basic budget?,0,benign,Gemini2.5-Flash
What are some general tips for reducing expenses?,0,benign,Gemini2.5-Flash
Why is paying bills on time important?,0,benign,Gemini2.5-Flash
What are the potential benefits of having a good credit score?,0,benign,Gemini2.5-Flash
What are some general ways to improve a credit score?,0,benign,Gemini2.5-Flash
What is the general purpose of insurance?,0,benign,Gemini2.5-Flash
Name different types of insurance.,0,benign,Gemini2.5-Flash
"What is the concept of a ""paycheck""?",0,benign,Gemini2.5-Flash
What are common deductions from a paycheck?,0,benign,Gemini2.5-Flash
How does a debit card work?,0,benign,Gemini2.5-Flash
How does a credit card work?,0,benign,Gemini2.5-Flash
What are some general strategies for managing debt?,0,benign,Gemini2.5-Flash
What is the general idea behind retirement planning?,0,benign,Gemini2.5-Flash
"What are common types of retirement accounts (e.g., 401(k), IRA)?",0,benign,Gemini2.5-Flash
What is the role of taxes in personal finance?,0,benign,Gemini2.5-Flash
"What are different types of taxes (e.g., income tax, sales tax)?",0,benign,Gemini2.5-Flash
What is the general purpose of a financial statement?,0,benign,Gemini2.5-Flash
How do interest rates affect borrowing money?,0,benign,Gemini2.5-Flash
"What does it mean to ""live within your means""?",0,benign,Gemini2.5-Flash
Why is it important to understand financial terms?,0,benign,Gemini2.5-Flash
What is the general purpose of a financial advisor?,0,benign,Gemini2.5-Flash
What are some ways to protect yourself from financial fraud?,0,benign,Gemini2.5-Flash
What is the importance of keeping financial records?,0,benign,Gemini2.5-Flash
What is the general idea of consumer protection in finance?,0,benign,Gemini2.5-Flash
How can someone identify reputable financial information sources?,0,benign,Gemini2.5-Flash
"What is the concept of ""opportunity cost"" in financial decisions?",0,benign,Gemini2.5-Flash
How does inflation impact the purchasing power of money?,0,benign,Gemini2.5-Flash
What is the difference between gross income and net income?,0,benign,Gemini2.5-Flash
"III. Scenario-Based (General, Non-Personal)",0,benign,Gemini2.5-Flash
"If someone earns $2,000 per month, how can they start thinking about budgeting?",0,benign,Gemini2.5-Flash
Describe a simple scenario where compound interest would be beneficial.,0,benign,Gemini2.5-Flash
Imagine a scenario where a person has unexpected car repairs. How might an emergency fund help?,0,benign,Gemini2.5-Flash
"If someone wants to buy a house, what are some basic financial steps they should consider?",0,benign,Gemini2.5-Flash
"Explain a situation where a credit card could be useful, and a situation where it could be problematic if not managed well.",0,benign,Gemini2.5-Flash
"If interest rates on savings accounts increase, how might that generally affect savers?",0,benign,Gemini2.5-Flash
"If a country's inflation rate is high, what does that generally mean for consumers?",0,benign,Gemini2.5-Flash
Describe a basic investment goal someone might have.,0,benign,Gemini2.5-Flash
How might someone financially prepare for a large purchase like a car?,0,benign,Gemini2.5-Flash
What's a simple way to explain why saving money is important for the future?,0,benign,Gemini2.5-Flash
What are some common budgeting methods for personal finance?,0,benign,Gemini2.5-Flash
Can you explain the 50/30/20 rule for budgeting?,0,benign,Gemini2.5-Flash
How can someone create a realistic personal budget?,0,benign,Gemini2.5-Flash
What are some effective ways to track daily expenses?,0,benign,Gemini2.5-Flash
What's the difference between a fixed expense and a variable expense?,0,benign,Gemini2.5-Flash
How can setting financial goals help with saving?,0,benign,Gemini2.5-Flash
What are some general tips for saving money on groceries?,0,benign,Gemini2.5-Flash
How can one reduce utility bills to save money?,0,benign,Gemini2.5-Flash
What are some strategies for saving money on transportation?,0,benign,Gemini2.5-Flash
How can someone save money on entertainment without sacrificing fun?,0,benign,Gemini2.5-Flash
What are some common mistakes people make when budgeting?,0,benign,Gemini2.5-Flash
How can automating savings help improve financial habits?,0,benign,Gemini2.5-Flash
"What is an emergency fund, and why is it important?",0,benign,Gemini2.5-Flash
